key,layer,module_type,l2_norm,linf_norm,relative_l2,shape,dtype
model.embed_tokens.weight,,embedding,258.04907227,0.42578125,1.16367798,"[152064, 3584]",torch.float32
lm_head.weight,,lm_head,205.61653137,0.29492188,0.99738576,"[152064, 3584]",torch.float32
model.layers.5.mlp.gate_proj.weight,5,mlp_gate,138.45610046,0.17419434,1.05210042,"[18944, 3584]",torch.float32
model.layers.3.mlp.gate_proj.weight,3,mlp_gate,138.21417236,0.23986816,1.02430212,"[18944, 3584]",torch.float32
model.layers.4.mlp.gate_proj.weight,4,mlp_gate,136.98452759,0.21142578,0.99136141,"[18944, 3584]",torch.float32
model.layers.5.mlp.up_proj.weight,5,mlp_up,129.67274475,0.15979004,1.13660317,"[18944, 3584]",torch.float32
model.layers.6.mlp.gate_proj.weight,6,mlp_gate,129.04217529,0.13769531,0.97273181,"[18944, 3584]",torch.float32
model.layers.3.mlp.up_proj.weight,3,mlp_up,126.41614532,0.23162842,1.12527577,"[18944, 3584]",torch.float32
model.layers.4.mlp.up_proj.weight,4,mlp_up,121.89555359,0.17446899,1.11383195,"[18944, 3584]",torch.float32
model.layers.9.mlp.gate_proj.weight,9,mlp_gate,121.68026733,0.22387695,0.90218025,"[18944, 3584]",torch.float32
model.layers.23.mlp.up_proj.weight,23,mlp_up,120.33072662,0.19042969,1.0110447,"[18944, 3584]",torch.float32
model.layers.7.mlp.gate_proj.weight,7,mlp_gate,119.75330353,0.13366699,0.97254293,"[18944, 3584]",torch.float32
model.layers.27.mlp.up_proj.weight,27,mlp_up,119.26639557,0.43908691,0.94259513,"[18944, 3584]",torch.float32
model.layers.22.mlp.up_proj.weight,22,mlp_up,117.90623474,0.20019531,0.98894627,"[18944, 3584]",torch.float32
model.layers.8.mlp.gate_proj.weight,8,mlp_gate,117.86437988,0.11572266,0.97356959,"[18944, 3584]",torch.float32
model.layers.2.mlp.gate_proj.weight,2,mlp_gate,117.3366394,0.20838928,0.95444104,"[18944, 3584]",torch.float32
model.layers.21.mlp.up_proj.weight,21,mlp_up,116.95093536,0.13867188,0.98358347,"[18944, 3584]",torch.float32
model.layers.24.mlp.up_proj.weight,24,mlp_up,116.61928558,0.1328125,0.96074874,"[18944, 3584]",torch.float32
model.layers.10.mlp.gate_proj.weight,10,mlp_gate,116.17689514,0.18847656,0.93325475,"[18944, 3584]",torch.float32
model.layers.26.mlp.up_proj.weight,26,mlp_up,114.98371124,0.42504883,0.91752313,"[18944, 3584]",torch.float32
model.layers.25.mlp.up_proj.weight,25,mlp_up,114.84682465,0.38208008,0.93097771,"[18944, 3584]",torch.float32
model.layers.27.mlp.gate_proj.weight,27,mlp_gate,113.24873352,0.19335938,0.89314341,"[18944, 3584]",torch.float32
model.layers.13.mlp.gate_proj.weight,13,mlp_gate,112.83128357,0.16308594,0.91813853,"[18944, 3584]",torch.float32
model.layers.11.mlp.gate_proj.weight,11,mlp_gate,112.80119324,0.17944336,0.93165612,"[18944, 3584]",torch.float32
model.layers.23.mlp.gate_proj.weight,23,mlp_gate,112.76765442,0.14111328,0.91194284,"[18944, 3584]",torch.float32
model.layers.20.mlp.up_proj.weight,20,mlp_up,112.37589264,0.40673828,0.93874282,"[18944, 3584]",torch.float32
model.layers.5.mlp.down_proj.weight,5,mlp_down,112.22149658,0.56347656,1.00270734,"[3584, 18944]",torch.float32
model.layers.27.mlp.down_proj.weight,27,mlp_down,111.0021286,0.61090088,0.97263698,"[3584, 18944]",torch.float32
model.layers.21.mlp.gate_proj.weight,21,mlp_gate,110.83053589,0.15722656,0.91015163,"[18944, 3584]",torch.float32
model.layers.19.mlp.up_proj.weight,19,mlp_up,110.39595032,0.13818359,0.92512002,"[18944, 3584]",torch.float32
model.layers.22.mlp.gate_proj.weight,22,mlp_gate,110.35316467,0.27929688,0.9022387,"[18944, 3584]",torch.float32
model.layers.8.mlp.up_proj.weight,8,mlp_up,110.11023712,0.13085938,0.95555549,"[18944, 3584]",torch.float32
model.layers.12.mlp.gate_proj.weight,12,mlp_gate,109.86349487,0.1875,0.92131481,"[18944, 3584]",torch.float32
model.layers.24.mlp.gate_proj.weight,24,mlp_gate,108.6161499,0.17224121,0.8974894,"[18944, 3584]",torch.float32
model.layers.3.mlp.down_proj.weight,3,mlp_down,108.54592133,0.34667969,0.97905813,"[3584, 18944]",torch.float32
model.layers.14.mlp.gate_proj.weight,14,mlp_gate,108.46141815,0.25390625,0.90050093,"[18944, 3584]",torch.float32
model.layers.7.mlp.up_proj.weight,7,mlp_up,108.370224,0.14508057,0.96053446,"[18944, 3584]",torch.float32
model.layers.18.mlp.up_proj.weight,18,mlp_up,108.19228363,0.41210938,0.90094267,"[18944, 3584]",torch.float32
model.layers.11.mlp.up_proj.weight,11,mlp_up,107.43061829,0.18798828,0.93127696,"[18944, 3584]",torch.float32
model.layers.4.mlp.down_proj.weight,4,mlp_down,107.20487213,0.35400391,0.99044038,"[3584, 18944]",torch.float32
model.layers.26.mlp.down_proj.weight,26,mlp_down,106.7928009,0.390625,0.87022583,"[3584, 18944]",torch.float32
model.layers.0.mlp.gate_proj.weight,,mlp_gate,106.71743011,0.23583984,0.95476662,"[18944, 3584]",torch.float32
model.layers.12.mlp.up_proj.weight,12,mlp_up,106.66069031,0.20703125,0.91289231,"[18944, 3584]",torch.float32
model.layers.13.mlp.up_proj.weight,13,mlp_up,106.63529205,0.15625,0.92775094,"[18944, 3584]",torch.float32
model.layers.26.mlp.gate_proj.weight,26,mlp_gate,106.49462891,0.38916016,0.89135903,"[18944, 3584]",torch.float32
model.layers.20.mlp.gate_proj.weight,20,mlp_gate,106.39154816,0.23376465,0.89111411,"[18944, 3584]",torch.float32
model.layers.2.mlp.up_proj.weight,2,mlp_up,106.19652557,0.18945312,1.113534,"[18944, 3584]",torch.float32
model.layers.19.mlp.gate_proj.weight,19,mlp_gate,105.93178558,0.26559997,0.88505897,"[18944, 3584]",torch.float32
model.layers.10.mlp.up_proj.weight,10,mlp_up,105.68810272,0.15966797,0.93861117,"[18944, 3584]",torch.float32
model.layers.6.mlp.up_proj.weight,6,mlp_up,105.64859772,0.14482117,0.97094385,"[18944, 3584]",torch.float32
model.layers.15.mlp.gate_proj.weight,15,mlp_gate,105.33713531,0.19921875,0.88737515,"[18944, 3584]",torch.float32
model.layers.14.mlp.up_proj.weight,14,mlp_up,104.94172668,0.18066406,0.90364792,"[18944, 3584]",torch.float32
model.layers.15.mlp.up_proj.weight,15,mlp_up,104.84024048,0.1184082,0.89057752,"[18944, 3584]",torch.float32
model.layers.16.mlp.up_proj.weight,16,mlp_up,104.32923126,0.12036133,0.88631268,"[18944, 3584]",torch.float32
model.layers.17.mlp.up_proj.weight,17,mlp_up,104.01747131,0.18701172,0.87733918,"[18944, 3584]",torch.float32
model.layers.25.mlp.gate_proj.weight,25,mlp_gate,103.79856873,0.30883789,0.86830259,"[18944, 3584]",torch.float32
model.layers.16.mlp.gate_proj.weight,16,mlp_gate,103.76877594,0.16796875,0.87489547,"[18944, 3584]",torch.float32
model.layers.8.mlp.down_proj.weight,8,mlp_down,103.70816803,0.17553711,0.91025679,"[3584, 18944]",torch.float32
model.layers.18.mlp.gate_proj.weight,18,mlp_gate,103.60058594,0.2109375,0.88093623,"[18944, 3584]",torch.float32
model.layers.25.mlp.down_proj.weight,25,mlp_down,103.28629303,0.14501953,0.8447846,"[3584, 18944]",torch.float32
model.layers.18.mlp.down_proj.weight,18,mlp_down,103.18591309,0.38574219,0.87875267,"[3584, 18944]",torch.float32
model.layers.20.mlp.down_proj.weight,20,mlp_down,103.15813446,0.296875,0.8814301,"[3584, 18944]",torch.float32
model.layers.21.mlp.down_proj.weight,21,mlp_down,103.04069519,0.19051361,0.88535647,"[3584, 18944]",torch.float32
model.layers.19.mlp.down_proj.weight,19,mlp_down,102.88996887,0.16259766,0.88339478,"[3584, 18944]",torch.float32
model.layers.1.mlp.gate_proj.weight,1,mlp_gate,102.53630829,0.26913452,0.93162435,"[18944, 3584]",torch.float32
model.layers.17.mlp.gate_proj.weight,17,mlp_gate,102.17662048,0.22351074,0.86866578,"[18944, 3584]",torch.float32
model.layers.12.mlp.down_proj.weight,12,mlp_down,101.95108032,0.22167969,0.88189834,"[3584, 18944]",torch.float32
