token_id,token_str,delta_l2
83012,'áveis',1.19773698
51007,'\\\\\\\\',1.17872322
1124,' \\',1.08405995
4498,'When',1.08403456
11147,"'""=>'",1.07316136
1654,'We',1.06806982
62626,'-choice',1.06659663
1699,'\\n',1.06483209
12549,'Since',1.06218398
7983,'While',1.05915475
2679,'If',1.0565474
39990,'/input',1.05589402
43948,'●',1.0485642
88230,'nThe',1.04096532
7981,'Our',1.0380739
32620,'?\\',1.03522599
10448,'>();\n\n',1.03276491
30801,'...\\',1.03274488
14771,'!\\',1.02969146
72916,'();\r\n\r\n\r\n',1.02460265
38593,' Newsletter',1.0244627
15802,'Although',1.02425981
98760,' ...\\',1.02399564
27450,' dumpster',1.02291548
75236,' Blogs',1.02026641
8441,'Many',1.02015078
8981,""" '',""",1.01868379
30052,' Logo',1.01747811
7110,'.\\',1.01648271
37263,'Originally',1.01583326
8373,'Some',1.01510012
66898,'。\\',1.01479304
13582,'Advertisement',1.01453114
3422,'\\\\',1.01428759
66249,' evaluates',1.01418376
18228,' Marketing',1.01355505
17882,';\\',1.01287925
17960,']\\',1.01278639
24700,'Whether',1.01153505
72341,').\\',1.01013899
81351,'\\\\\\',1.00995862
2132,'It',1.00995052
85539,'}\\\\',1.00941622
8704,' Since',1.0087254
10699,')\\',1.00843418
21969,' notifications',1.0079664
21597,' affiliate',1.0077678
14403,' tickets',1.00734854
50838,'/train',1.0072999
19911,' templates',1.00704479
27270,' Subscribe',1.00618219
38704,'Enjoy',1.00611341
7288,' •',1.00589097
26266,"',\\'",1.00566375
88223,' quizzes',1.00403714
16014,'During',1.00374305
19276,' Reviews',1.00348628
22372,'United',1.00337875
20166,' Welcome',1.00322151
9485,'These',1.00248492
50950,'\xa0\n',1.00243664
64249,'Become',1.00055778
51261,'Explore',1.00011361
50672,'Cookies',1.00007761
28212,' Categories',0.99846405
47232,'Answers',0.9984346
92678,'stitutions',0.99779105
64485,' publishes',0.99748808
51207,' collects',0.99746585
23954,' Shipping',0.99741924
11846,' casino',0.99709672
24984,' \\\\',0.99689132
43356,'Shipping',0.99687064
23491,' purchases',0.99676949
95456,'Certainly',0.99646342
16141,'Answer',0.9963237
6865,'They',0.9962644
45206,'Reviews',0.99593037
36862,' Forex',0.99548483
1986,'This',0.99547267
56724,'answered',0.9954226
10713,"'""We'",0.99447823
43079,'Unlike',0.9944073
98743,'IMPORTANT',0.9941256
22245,"'\\""\\'",0.99407166
55106,'Videos',0.99402273
2354,'With',0.9928382
110257,'的兴趣',0.99250859
19710,' Features',0.99224693
76541,'Generally',0.99219072
80563,'PLEASE',0.99216723
35613,' Quotes',0.99178505
11510,'Every',0.99151248
5930,'itions',0.99142706
52280,'Important',0.99109578
25930,' Movies',0.99089795
13319,'Most',0.99071807
68423,' Hosting',0.99071699
34192,' travels',0.99042088
68308,' Alerts',0.98964071
57513,'Professional',0.9894805
87675,' Blogger',0.98944038
48332,'_sentence',0.98942077
76372,' estimating',0.98942065
89059,' rotates',0.98938465
82599,' computations',0.98917437
54617,' reproduced',0.98901242
51056,'Dump',0.98894787
39785,' subscribing',0.98892754
15364,'Today',0.98889554
20324,'Live',0.98882514
17949,'Because',0.98876715
25097,' pills',0.98863488
107820,'每一位',0.98862886
44515,' Forums',0.98844129
5976,' While',0.98839539
24973,'Creating',0.98838949
11905,'itors',0.98833889
47866,'Calculate',0.98828113
21189,' receives',0.9882592
28032,'Having',0.9882074
26733,'Though',0.98819029
97654,' gums',0.98804075
47471,'imates',0.9879902
15419,' Posts',0.98785228
103949,'的发展',0.98780239
50002,'Discover',0.98754966
3862,'There',0.98728818
50461,' ●',0.98727721
105172,'简单的',0.98716116
37614,' calculating',0.98700023
73534,'};\r\n\r\n\r\n',0.98695135
41044,'Overview',0.98688215
44334,' Monthly',0.98663753
4924,' dating',0.98657519
106096,'的文章',0.9864524
47624,'-selling',0.98644847
6284,'-old',0.98626578
78995,'excluding',0.98624694
109567,'每位',0.98581201
23156,'ulates',0.98574656
47004,' rentals',0.98569936
77133,'Designed',0.98558724
51318,' Offers',0.98556995
17746,'Products',0.98529547
16023,' Website',0.98524916
47344,' specialize',0.98512954
26700,'Blog',0.98507601
72565,'Estimated',0.9849776
19810,'Despite',0.98469192
26425,'traction',0.9846096
66829,' Disclaimer',0.98458135
57203,' computes',0.98457319
40695,'Anyone',0.98449594
83218,'-readable',0.98434681
26569,' determines',0.98416132
48452,'Modern',0.98413199
76192,' rectangles',0.98409772
80100,' Providing',0.98392463
6393,'aders',0.98390061
43721,' Reads',0.98377055
40803,' philosophical',0.9835276
65293,' Votes',0.98337317
75763,'Alternative',0.98328966
77751,' Reviewed',0.98306853
29332,'-message',0.98301816
51422,'Finding',0.98285216
22059,' CBD',0.98284239
26177,'kers',0.98276383
92540,' generalize',0.98259479
47417,' calculates',0.98242432
37020,'Five',0.98237127
60813,' warranties',0.98231441
71226,'Scientists',0.98229003
45302,' Typically',0.98223585
37835,'votes',0.98217708
23498,'-minute',0.98215717
